video_link,titel,kategorie,kurzbeschreibung,figuren_oder_techniken,interpretation_was_gelernt,recherchegrundlage,vertrauen
https://www.youtube.com/watch?v=jDZkd06oJg0,Sailor Kicks - for Lindy Hop and Swing Dance,Unterricht – Figur/Footwork,Erklärung der Sailor Kicks und ihrer Einbindung in Lindy Hop.,Sailor Kicks,"Ein rhythmisch markantes Kick-Footwork, das als Variation oder Übergang eingesetzt werden kann.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=PFiQW1oqHKw,Applejacks - Vernacular Jazz Explained for Lindy Hop and Swing Dance,Unterricht – Solo Jazz,Breakdown der Applejacks als Vernacular-Jazz-Schritt.,Applejacks,"Ein isolations- und fußorientierter Jazz-Schritt, der Solo getanzt oder als Styling ins Partnerdance übernommen werden kann.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=XH_jbGGpq4w,Fall off the Log - Vernacular Jazz Vocabulary for Lindy Hop,Unterricht – Solo Jazz,Erklärung von Fall off the Log.,Fall off the Log,Ein grundlegender wandernder Solo-Jazz-Schritt mit seitlicher Dynamik und rhythmischer Wiederholbarkeit.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=xKhPA8Psp-s,The Chase - Vernacular Jazz Explained for Lindy Hop and Swing Dance,Unterricht – Solo Jazz,Erklärung des Vernacular-Jazz-Moves The Chase.,The Chase,"Ein call-and-response-artiger Bewegungsbaustein, der auch mit dem Charleston-S-Turn/Chase begrifflich verwandt ist.",Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=0rUlUYuEGSU,Suzie Q - Vernacular Jazz Explained for Lindy Hop and Swing Dance,Unterricht – Solo Jazz,Breakdown des Suzie Q.,Suzie Q,"Ein klassischer kreuzender Jazz-Schritt mit Drehung/Swivel der Füße, gut als Solo-Vokabular und Styling.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=_HpaWTZkgA8,Fishtails & Tabby the Cat - Vernacular Jazz Explained,Unterricht – Solo Jazz,Erklärung der Schritte Fishtails und Tabby the Cat.,Fishtails; Tabby the Cat,Stellt zwei charakteristische Jazz-Schritte gegenüber und erweitert den improvisierbaren Solo-Wortschatz.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=KVr16a4AxqM,Sis-ka-boom-bah - Vernacular Jazz Vocabulary for Lindy Hop,Unterricht – Solo Jazz,Breakdown von Sis-ka-boom-bah.,Sis-ka-boom-bah,"Ein benannter Vernacular-Jazz-Baustein, der sich besonders für rhythmische Akzente und Routinen eignet.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=vwDwazsS7Ok,Cow Tail Breakdown & Dance Along - Solo Jazz for Lindy Hop,Unterricht – Solo Jazz,Breakdown und Dance-along für Cow Tail.,Cow Tail,Verbindet technische Zerlegung mit unmittelbarer Wiederholung zur Musik.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=BhHVHnkC3Rk,Improvisation: Phrasing and Transitions - Vernacular Jazz Explained,Unterricht – Improvisation,Phrasierung und Übergänge im improvisierten Vernacular Jazz.,Phrasing; Transitions; Improvisation,"Lehrt, wie einzelne Schritte zu musikalisch sinnvollen Sequenzen verbunden werden, statt nur Vokabular zu sammeln.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=5_H6stvvCKw,How to Put Vernacular Jazz Into Your Partner Dancing,Unterricht – Transfer/Styling,Übertragung von Solo-Jazz-Bewegungen in Partnerdance.,Vernacular-Jazz-Integration; Styling; Partnering,Besonders app-relevant als Querverbindung: Ein Solo-Schritt kann als Variation innerhalb einer Partnerfigur auftauchen.,Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=TCXR2oVMv8Q,Port Of Rico - Vernacular Jazz Dance Routine for Swing Dance,Routine/Choreografie,Vernacular-Jazz-Routine zu „Port of Rico“.,Port of Rico routine; mehrere Solo-Jazz-Schritte,Eher als zusammenhängende Choreografie und Inspirationsquelle geeignet als als isolierte Figurenreferenz.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=dUHLk1pDZMw,3 Song Dance Along! - Vernacular Solo Jazz Warmup,Unterricht – Dance-along,Drei Songs umfassendes Solo-Jazz-Dance-along/Warm-up.,Gemischtes Vernacular-Jazz-Vokabular,"Gut für Praxis und Wiederholung; weniger geeignet, um eine einzelne Figur gezielt nachzuschlagen.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=ZXrJoPMJ_2g,Intro Solo Jazz Warmup 1,Warm-up/Praxis,Einsteiger-Warm-up mit Solo-Jazz-Bewegungen.,Gemischtes Intro-Solo-Jazz-Vokabular,"Trainiert Koordination, Puls und grundlegende Jazzbewegungen in einer kontinuierlichen Einheit.",Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=Rdl-nk2pzsA,Intro Solo Jazz Warmup 2,Warm-up/Praxis,Zweiter Einsteiger-Solo-Jazz-Warm-up.,Gemischtes Intro-Solo-Jazz-Vokabular,"Erweitert die Übungsbibliothek, konkrete Einzelschritte sind aus den Metadaten nicht sicher.",Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=i98_V9BiF_Y,Intro Solo Jazz Warmup 3,Warm-up/Praxis,Dritter Einsteiger-Solo-Jazz-Warm-up.,Gemischtes Intro-Solo-Jazz-Vokabular,Kontinuierliches Mitmachformat zur Festigung von Timing und Bewegungsfluss.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=4PQpsuYli9o,Intro Solo Jazz Warmup 4,Warm-up/Praxis,Vierter Einsteiger-Solo-Jazz-Warm-up.,Gemischtes Intro-Solo-Jazz-Vokabular,Als Praxisvideo geeignet; Figuren sollten bei Bedarf nach Sichtung einzeln verschlagwortet werden.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=LC8MpizO0Xw,Intro Solo Jazz Warmup 5,Warm-up/Praxis,Fünfter Einsteiger-Solo-Jazz-Warm-up.,Gemischtes Intro-Solo-Jazz-Vokabular,Ergänzt die Serie um weitere Bewegungsfolgen und Wiederholungsmaterial.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=bWpYJETIljI,Intermediate Solo Jazz Warmup 1,Warm-up/Praxis,Solo-Jazz-Warm-up auf mittlerem Niveau.,Gemischtes Intermediate-Solo-Jazz-Vokabular,Höheres Tempo und komplexere Koordination als in der Intro-Serie.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=B9ryEFQtNRo,Intermediate Solo Jazz Warmup 3,Warm-up/Praxis,Dritter Solo-Jazz-Warm-up auf mittlerem Niveau.,Gemischtes Intermediate-Solo-Jazz-Vokabular,Praxisorientierte Verbindung mehrerer Bewegungen; keine eindeutige Einzelfigur aus Metadaten.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=M9XOTprFa6Y,Intermediate Solo Jazz Warmup - 4,Warm-up/Praxis,Vierter Solo-Jazz-Warm-up auf mittlerem Niveau.,Gemischtes Intermediate-Solo-Jazz-Vokabular,Eignet sich als Trainingseinheit und Inspirationsquelle für Übergänge.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=dGJ6FPGA65E,Advanced Solo Jazz Warmup 1,Warm-up/Praxis,Fortgeschrittener Solo-Jazz-Warm-up.,Gemischtes Advanced-Solo-Jazz-Vokabular,Für erfahrene Tänzer:innen; konkrete Figuren benötigen Sichtung oder Transkript.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=sT3RAjkanss,Advanced Solo Jazz Warmup 2,Warm-up/Praxis,Zweiter fortgeschrittener Solo-Jazz-Warm-up.,Gemischtes Advanced-Solo-Jazz-Vokabular,Trainiert komplexe Rhythmen und schnelle Übergänge in fortlaufender Form.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=D8BGq-MgsHk,Right and Wrong Body Movement - For Lindy Hop and Swing Dance,Unterricht – Technik,Vergleich hilfreicher und problematischer Körperbewegung im Swing-Tanz.,Body movement; Pulse; Bounce; Haltung,Schärft die Bewegungsqualität unabhängig von einer konkreten Figur und kann als Technikreferenz für viele App-Einträge dienen.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=71b_oebftR0,Make Your Beautiful Basics - Ankle Burner Edition! For Lindy Hop and Swing Dance,Unterricht – Technik/Praxis,Intensives Training grundlegender Bewegungen mit Fokus auf Füße und Knöchel.,Basics; Footwork; Ankle strength,"Zeigt, dass saubere Basics und belastbare Fußarbeit die Grundlage für komplexere Figuren bilden.",Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=LnFugJYoafE,Drags - For Lindy Hop & Swing Dance,Unterricht – Figur/Footwork,Erklärung von Drags als Swing-/Jazz-Bewegung.,Drags,"Ein gleitender Footwork-Baustein, der als Styling, Übergang oder rhythmische Variation eingesetzt werden kann.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=Od_ULTngbSs,Abbreviated Music History - Lindy Hop and Swing Dance,Hintergrund – Geschichte,Kurzer Überblick über die Musikgeschichte im Kontext von Lindy Hop und Swing.,Keine konkrete Figur,"Liefert kulturellen und musikalischen Kontext, ist aber keine direkte Figurenanleitung.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=A9wzOgG3kB4,Abbreviated Charleston History - Lindy Hop and Swing Dance,Hintergrund – Geschichte,Kurze Geschichte des Charleston.,Keine konkrete Figur; Charleston als historisches Thema,"Hilft bei historischer Einordnung der Charleston-Familie, sollte in der App getrennt von Tutorials erscheinen.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=5cNuggjbtS0,An Abbreviated History of the Big Apple - For Lindy Hop and Swing Dance,Hintergrund – Geschichte,Kurze Geschichte der Big-Apple-Routine.,Big Apple als historische Routine,"Kontextvideo zur Herkunft und Entwicklung einer bekannten Gruppenchoreografie, keine primäre Schrittanleitung.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=w-0-OXtcj-Y,Abbreviated Shim Sham History - Lindy Hop and Swing Dance,Hintergrund – Geschichte,Kurze Geschichte des Shim Sham.,Shim Sham als historische Routine,Eignet sich als kulturelle Ergänzung zu einem separaten Shim-Sham-Tutorial.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=bx0mjcFuZ8A,TX Tommy History - Lindy Hop and Swing Dance,Hintergrund – Geschichte,Historischer Hintergrund zum TX Tommy.,TX Tommy als historische Figur,"Für die App als Hintergrundreferenz zu einem TX-Tommy-Figureneintrag sinnvoll, aber nicht zwingend als Bewegungs-Tutorial.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=5idnZy7bwwQ,Laura Glaess & AJ Howard - Swim Out Costa Brava 2024,Performance/Inspiration,Festival-Performance von Laura Glaess und AJ Howard.,Viele improvisierte Lindy-Hop-/Jazz-Elemente; nicht einzeln verifiziert,"Als Bewegungsinspiration wertvoll, aber ohne Breakdown ungeeignet als eindeutige Figurenreferenz.",Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=guiXh9f2z5I,Q&A2 - for Lindy Hop and Swing Dance,Hintergrund – Q&A,Frage-und-Antwort-Video zu Lindy Hop und Swing Dance.,Je nach Frage verschiedene Konzepte; keine eindeutige Hauptfigur,"Kann wertvolle Technikantworten enthalten, ist jedoch schwer als einzelner Figurenlink zu katalogisieren.",Titel/Suchergebnis,mittel
